region_id,region,lat,lng,temp,prcp
273,Palmela,38.569,-8.9013,17.658333333333335,380.1
91,Croatia,45.1667,15.5,12.972727272727274,1616.6
225,Montevideo,-34.8335,-56.1674,17.516666666666666,824.0999999999999
52,Campanha,-21.8361,-45.4006,20.73333333333333,1212.9
158,Israel,31.5,34.75,21.133333333333333,127.6
150,Hungary,47.0,20.0,13.336363636363638,660.4
236,Murfatlar,44.1833,28.4167,14.1,472.2
254,New Zealand,-42.0,174.0,13.745454545454544,713.9000000000001
318,San Jose,37.3394,-121.895,16.063636363636366,416.5
379,Vale dos Vinhedos,-29.1774,-51.5668,18.19166666666667,2230.1
220,Mittelburgenland,47.5018,16.5059,12.309090909090912,710.4000000000001
256,North Carolina,35.5007,-80.0003,16.318181818181817,896.7
17,Apalta,-34.3389,-70.8708,15.709090909090907,981.7000000000002
377,Valais,46.2293,7.4597,7.945454545454547,0.0
133,Georgia,32.7504,-83.5002,18.750000000000004,1493.1
16,Ankara,39.9199,32.8543,14.075,518.0
313,Samos,37.7572,26.9769,19.775,501.69999999999993
115,Eisenberg,50.9667,11.9,10.891666666666666,677.3000000000001
25,Austria,47.3333,13.3333,7.809090909090909,0.0
233,Mostar,43.3433,17.8081,17.85833333333333,1524.1
156,Iowa,42.0003,-93.5005,11.8,753.2
276,Patras,38.2444,21.7344,18.672727272727272,841.3999999999999
140,Greece,43.2098,-77.6931,10.499999999999998,954.1
317,San Clemente,33.427,-117.612,16.900000000000002,374.2000000000001
289,Podunavlje,45.6293,18.8139,13.609090909090908,692.8000000000001
125,Florina,40.782,21.4098,12.945454545454544,863.5
45,Buin,-33.7333,-70.75,14.518181818181818,398.3
39,Brazil,39.5237,-87.125,14.099999999999996,1243.6
382,Vermont,44.0003,-72.7498,8.68181818181818,1179.8
349,Switzerland,47.0002,8.0143,7.518181818181818,0.0
113,Eger,47.9026,20.3733,12.290909090909093,708.0
283,Philadelphia,39.9523,-75.1638,14.658333333333331,1072.4
286,Pirque,-17.5755,-66.3517,18.741666666666664,459.00000000000006
112,East Coast,1.3092,103.9389,28.24166666666667,2177.6
23,Attica,40.2942,-87.2489,13.018181818181818,775.5
295,Progreso,21.2833,-89.6667,27.450000000000003,502.0
223,Molina,-35.1167,-71.2833,15.327272727272726,799.2
170,Kentucky,-30.7667,151.45,13.181818181818183,674.8
271,Pafos,34.7667,32.4167,21.127272727272725,421.5
178,Kutjevo,45.4261,17.8825,13.936363636363636,845.8000000000001
86,Connecticut,41.667,-72.6665,12.516666666666667,1525.9
119,Elim,40.2979,-78.9425,11.136363636363637,1164.0
10,Algarve,-30.0344,-51.0791,20.39166666666667,1844.4
337,Sopron,47.685,16.5905,12.309090909090912,710.4000000000001
151,Hvar,43.1725,16.4428,18.55454545454545,899.7
50,Cahul,45.9075,28.1944,13.581818181818182,472.5
40,Brda,43.5244,16.4692,18.125,964.1
227,Morocco,40.9462,-87.4534,11.8,865.6000000000001
306,Rhode Island,41.7504,-71.4998,11.65,1465.0
67,Central Greece,38.3524,23.14,17.700000000000003,482.6
301,Requinoa,-34.2833,-70.8333,15.709090909090907,981.7000000000002
139,Goumenissa,40.9439,22.4442,16.627272727272725,521.2
215,Messinia,37.25,21.8333,18.05,689.0
207,Markopoulo,37.8833,23.9333,19.33636363636364,390.1
136,Gladstone,-23.85,151.25,22.9,711.0
81,Colares,38.7992,-9.4469,17.818181818181817,460.6000000000001
147,Helderberg,-34.0305,18.8311,17.041666666666668,813.5999999999999
145,Hawaii,20.7503,-156.5003,24.61666666666667,294.79999999999995
176,Krk,45.0258,14.5731,16.645454545454548,2190.0
18,Arcadia,34.1397,-118.0353,17.845454545454547,878.6999999999999
169,Kathikas,34.9125,32.4258,21.127272727272725,421.5
185,Lesbos,39.1667,26.3333,19.581818181818186,648.4000000000001
