region,region_id,lat,lng,temp,prcp
Palmela,273,38.569,-8.9013,17.658333333333335,380.1
Croatia,91,45.1667,15.5,12.972727272727274,1616.6
Montevideo,225,-34.8335,-56.1674,17.516666666666666,824.0999999999999
Campanha,52,-21.8361,-45.4006,20.73333333333333,1212.9
Israel,158,31.5,34.75,21.133333333333333,127.6
Hungary,150,47.0,20.0,13.336363636363638,660.4
Murfatlar,236,44.1833,28.4167,14.1,472.2
New Zealand,254,-42.0,174.0,13.745454545454544,713.9000000000001
San Jose,318,37.3394,-121.895,16.063636363636366,416.5
Vale dos Vinhedos,379,-29.1774,-51.5668,18.19166666666667,2230.1
Mittelburgenland,220,47.5018,16.5059,12.309090909090912,710.4000000000001
North Carolina,256,35.5007,-80.0003,16.318181818181817,896.7
Apalta,17,-34.3389,-70.8708,15.709090909090907,981.7000000000002
Valais,377,46.2293,7.4597,7.945454545454547,0.0
Georgia,133,32.7504,-83.5002,18.750000000000004,1493.1
Ankara,16,39.9199,32.8543,14.075,518.0
Samos,313,37.7572,26.9769,19.775,501.69999999999993
Eisenberg,115,50.9667,11.9,10.891666666666666,677.3000000000001
Austria,25,47.3333,13.3333,7.809090909090909,0.0
Mostar,233,43.3433,17.8081,17.85833333333333,1524.1
Iowa,156,42.0003,-93.5005,11.8,753.2
Patras,276,38.2444,21.7344,18.672727272727272,841.3999999999999
Greece,140,43.2098,-77.6931,10.499999999999998,954.1
San Clemente,317,33.427,-117.612,16.900000000000002,374.2000000000001
Podunavlje,289,45.6293,18.8139,13.609090909090908,692.8000000000001
Florina,125,40.782,21.4098,12.945454545454544,863.5
Buin,45,-33.7333,-70.75,14.518181818181818,398.3
Brazil,39,39.5237,-87.125,14.099999999999996,1243.6
Vermont,382,44.0003,-72.7498,8.68181818181818,1179.8
Switzerland,349,47.0002,8.0143,7.518181818181818,0.0
Eger,113,47.9026,20.3733,12.290909090909093,708.0
Philadelphia,283,39.9523,-75.1638,14.658333333333331,1072.4
Pirque,286,-17.5755,-66.3517,18.741666666666664,459.00000000000006
East Coast,112,1.3092,103.9389,28.24166666666667,2177.6
Attica,23,40.2942,-87.2489,13.018181818181818,775.5
